"","from","to"
"830","Independent Commissioner Against Corruption Act 2012","Independent Commissioner Against Corruption Act 2012"
"831","Independent Commissioner Against Corruption Act 2012","Independent Commissioner Against Corruption Act 2012"
"832","Independent Commissioner Against Corruption Act 2012","Child Sex Offenders Registration Act 2006"
"833","Independent Commissioner Against Corruption Act 2012","City of Adelaide Act 1998"
"834","Independent Commissioner Against Corruption Act 2012","Correctional Services Act 1982"
"835","Independent Commissioner Against Corruption Act 2012","Criminal Law Consolidation Act 1935"
"836","Independent Commissioner Against Corruption Act 2012","Defamation Act 2005"
"837","Independent Commissioner Against Corruption Act 2012","Freedom of Information Act 1991"
"838","Independent Commissioner Against Corruption Act 2012","Legal Practitioners Act 1981"
"839","Independent Commissioner Against Corruption Act 2012","Local Government Act 1999"
"840","Independent Commissioner Against Corruption Act 2012","Ombudsman Act 1972"
"841","Independent Commissioner Against Corruption Act 2012","Parliamentary Committees Act 1991"
"842","Independent Commissioner Against Corruption Act 2012","Police Act 1998"
"843","Independent Commissioner Against Corruption Act 2012","Protective Security Act 2007"
"844","Independent Commissioner Against Corruption Act 2012","Public Finance and Audit Act 1987"
"845","Independent Commissioner Against Corruption Act 2012","Public Sector Act 2009"
"846","Independent Commissioner Against Corruption Act 2012","Summary Offences Act 1953"
"847","Independent Commissioner Against Corruption Act 2012","Whistleblowers Protection Act 1993"
"848","Independent Commissioner Against Corruption Act 2012","Witness Protection Act 1996"
"849","Independent Gambling Authority Act 1995","Independent Gambling Authority Act 1995"
"850","Independent Gambling Authority Act 1995","Independent Gambling Authority Act 1995"
"851","Industrial Hemp Act 2017","Industrial Hemp Act 2017"
"852","Industrial Hemp Act 2017","Industrial Hemp Act 2017"
"853","Industrial Hemp Act 2017","Controlled Substances Act 1984"
"854","Industrial Referral Agreements Act 1986","Industrial Referral Agreements Act 1986"
"855","Industrial Referral Agreements Act 1986","Industrial Referral Agreements Act 1986"
"856","Industrial Referral Agreements Act 1986","Industrial Referral Agreements Act 1986"
"857","Industrial Referral Agreements Act 1986","Industrial Referral Agreements Act 1986"
"858","Industrial Referral Agreements Act 1986","Industrial Referral Agreements Act 1986"
"859","Industrial Referral Agreements Act 1986","Supreme Court Act 1935"
"860","Industrial Referral Agreements Act 1986","Building and Construction Industry Security of Payment Act 2009"
"861","Industrial Referral Agreements Act 1986","Commercial Arbitration Act 2011"
"862","Industry Advocate Act 2017","Industry Advocate Act 2017"
"863","Industry Advocate Act 2017","Industry Advocate Act 2017"
"864","Industry Advocate Act 2017","Freedom of Information Act 1991"
"865","Infrastructure SA Act 2018","Infrastructure SA Act 2018"
"866","Infrastructure SA Act 2018","Infrastructure SA Act 2018"
"867","Interest on Crown Advances and Leases Act 1944","Interest on Crown Advances and Leases Act 1944"
"868","Interest on Crown Advances and Leases Act 1944","Interest on Crown Advances and Leases Act 1944"
"869","Intervention Orders (Prevention of Abuse) Act 2009","Bail Act 1985"
"870","Intervention Orders (Prevention of Abuse) Act 2009","Criminal Law Consolidation Act 1935"
"871","Intervention Orders (Prevention of Abuse) Act 2009","Cross-border Justice Act 2009"
"872","Intervention Orders (Prevention of Abuse) Act 2009","District Court Act 1991"
"873","Intervention Orders (Prevention of Abuse) Act 2009","Evidence Act 1929"
"874","Intervention Orders (Prevention of Abuse) Act 2009","Magistrates Court Act 1991"
"875","Intervention Orders (Prevention of Abuse) Act 2009","Problem Gambling Family Protection Orders Act 2004"
"876","Intervention Orders (Prevention of Abuse) Act 2009","Supreme Court Act 1935"
"877","Intervention Orders (Prevention of Abuse) Act 2009","Youth Court Act 1993"
"878","Intervention Orders (Prevention of Abuse) Act 2009","Disability Inclusion Act 2018"
"879","Irrigation Act 2009","Irrigation Act 2009"
"880","Irrigation Act 2009","Irrigation Act 2009"
"881","Irrigation Act 2009","Irrigation Act 2009"
"882","Irrigation Act 2009","Irrigation Act 2009"
"883","Irrigation Act 2009","Natural Resources Management Act 2004"
"884","James Brown Memorial Trust Incorporation Act 1990","James Brown Memorial Trust Incorporation Act 1990"
"885","James Brown Memorial Trust Incorporation Act 1990","James Brown Memorial Trust Incorporation Act 1990"
"886","James Brown Memorial Trust Incorporation Act 1990","James Brown Memorial Trust Incorporation Act 1990"
"887","Judges Pensions Act 1971","Supreme Court Act 1935"
"888","Judicial Administration (Auxiliary Appointments and Powers) Act 1988","Magistrates Act 1983"
"889","Judicial Administration (Auxiliary Appointments and Powers) Act 1988","Supreme Court Act 1935"
"890","Judicial Administration (Auxiliary Appointments and Powers) Act 1988","Return to Work Act 2014"
"891","Judicial Conduct Commissioner Act 2015","Judicial Conduct Commissioner Act 2015"
"892","Judicial Conduct Commissioner Act 2015","Judicial Conduct Commissioner Act 2015"
"893","Judicial Conduct Commissioner Act 2015","Judicial Conduct Commissioner Act 2015"
"894","Judicial Conduct Commissioner Act 2015","Constitution Act 1934"
"895","Judicial Conduct Commissioner Act 2015","Courts Administration Act 1993"
"896","Judicial Conduct Commissioner Act 2015","District Court Act 1991"
"897","Judicial Conduct Commissioner Act 2015","Equal Opportunity Act 1984"
"898","Judicial Conduct Commissioner Act 2015","Freedom of Information Act 1991"
"899","Judicial Conduct Commissioner Act 2015","Independent Commissioner Against Corruption Act 2012"
"900","Judicial Conduct Commissioner Act 2015","Justices of the Peace Act 2005"
"901","Judicial Conduct Commissioner Act 2015","Magistrates Act 1983"
"902","Judicial Conduct Commissioner Act 2015","Ombudsman Act 1972"
"903","Judicial Conduct Commissioner Act 2015","Parliamentary Committees Act 1991"
"904","Juries Act 1927","Juries Act 1927"
"905","Juries Act 1927","Juries Act 1927"
"906","Juries Act 1927","Coroners Act 2003"
"907","Justices of the Peace Act 2005","Justices of the Peace Act 2005"
"908","Justices of the Peace Act 2005","Justices of the Peace Act 2005"
"909","Justices of the Peace Act 2005","Justices of the Peace Act 2005"
"910","Justices of the Peace Act 2005","Justices of the Peace Act 2005"
"911","Justices of the Peace Act 2005","Acts Interpretation Act 1915"
"912","Justices of the Peace Act 2005","Administration and Probate Act 1919"
"913","Justices of the Peace Act 2005","Adoption Act 1988"
"914","Justices of the Peace Act 2005","Bail Act 1985"
"915","Justices of the Peace Act 2005","Correctional Services Act 1982"
"916","Justices of the Peace Act 2005","Criminal Law Consolidation Act 1935"
"917","Justices of the Peace Act 2005","Debtors Act 1936"
"918","Justices of the Peace Act 2005","Family and Community Services Act 1972"
"919","Justices of the Peace Act 2005","Impounding Act 1920"
"920","Justices of the Peace Act 2005","Landlord and Tenant Act 1936"
"921","Justices of the Peace Act 2005","Local Government Act 1999"
"922","Justices of the Peace Act 2005","Lottery and Gaming Act 1936"
"923","Justices of the Peace Act 2005","Magistrates Court Act 1991"
"924","Justices of the Peace Act 2005","Real Property Act 1886"
"925","Justices of the Peace Act 2005","Youth Court Act 1993"
"926","Justices of the Peace Act 2005","Justices of the Peace Act 2005"
"927","Labour Hire Licensing Act 2017","Labour Hire Licensing Act 2017"
"928","Labour Hire Licensing Act 2017","Labour Hire Licensing Act 2017"
"929","Lady Kintore Cottages Act 1920","Lady Kintore Cottages Act 1920"
"930","Lady Kintore Cottages Act 1920","Lady Kintore Cottages Act 1920"
"931","Lady Kintore Cottages Act 1920","Lady Kintore Cottages Act 1920"
"932","Land Acquisition Act 1969","Land Acquisition Act 1969"
"933","Land Acquisition Act 1969","Land Acquisition Act 1969"
"934","Land Acquisition Act 1969","Land Acquisition Act 1969"
"935","Land Agents Act 1994","Land Agents Act 1994"
"936","Land Agents Act 1994","Land Agents Act 1994"
"937","Land Agents Act 1994","Land Agents Act 1994"
"938","Land Agents Act 1994","Land Agents Act 1994"
"939","Land Agents Act 1994","District Court Act 1991"
"940","Land Tax Act 1936","Land Tax Act 1936"
"941","Land Tax Act 1936","Land Tax Act 1936"
"942","Land Tax Act 1936","Land Tax Act 1936"
"943","Land Valuers Act 1994","Land Valuers Act 1994"
"944","Land Valuers Act 1994","Land Valuers Act 1994"
"945","Landlord and Tenant Act 1936","Landlord and Tenant Act 1936"
"946","Landlord and Tenant Act 1936","Landlord and Tenant Act 1936"
"947","Landlord and Tenant Act 1936","Landlord and Tenant Act 1936"
"948","Landlord and Tenant Act 1936","Landlord and Tenant Act 1936"
"949","Landlord and Tenant Act 1936","Justices of the Peace Act 2005"
"950","Landlord and Tenant Act 1936","Justices of the Peace Act 2005"
"951","Lands for Public Purposes Acquisition Act 1914","Lands for Public Purposes Acquisition Act 1914"
"952","Lands for Public Purposes Acquisition Act 1914","Lands for Public Purposes Acquisition Act 1914"
"953","Late Payment of Government Debts (Interest) Act 2013","Public Finance and Audit Act 1987"
"954","Law of Property Act 1936","Law of Property Act 1936"
"955","Law of Property Act 1936","Law of Property Act 1936"
"956","Law of Property Act 1936","Real Property Act 1886"
"957","Law Reform (Contributory Negligence and Apportionment of Liability) Act 2001","Survival of Causes of Action Act 1940"
"958","Legal Practitioners Act 1981","Legal Practitioners Act 1981"
"959","Legal Practitioners Act 1981","Legal Practitioners Act 1981"
"960","Legal Practitioners Act 1981","Legal Practitioners Act 1981"
"961","Legal Practitioners Act 1981","Notaries Public Act 2016"
"962","Legal Practitioners Act 1981","Notaries Public Act 2016"
"963","Legal Services Commission Act 1977","Legal Services Commission Act 1977"
"964","Legal Services Commission Act 1977","Legal Services Commission Act 1977"
"965","Legal Services Commission Act 1977","Legal Services Commission Act 1977"
"966","Legal Services Commission Act 1977","Legal Services Commission Act 1977"
"967","Legal Services Commission Act 1977","Criminal Assets Confiscation Act 2005"
"968","Legislation Revision and Publication Act 2002","Legislation Revision and Publication Act 2002"
"969","Legislation Revision and Publication Act 2002","Legislation Revision and Publication Act 2002"
"970","Legislation Revision and Publication Act 2002","Legislation Revision and Publication Act 2002"
"971","Legislation Revision and Publication Act 2002","Legislation Revision and Publication Act 2002"
"972","Legislation Revision and Publication Act 2002","Evidence Act 1929"
"973","Legislation Revision and Publication Act 2002","Subordinate Legislation Act 1978"
"974","Libraries Act 1982","Libraries Act 1982"
"975","Libraries Act 1982","Libraries Act 1982"
"976","Libraries Act 1982","Libraries Act 1982"
"977","Libraries Act 1982","State Records Act 1997"
"978","Liens on Fruit Act 1923","Liens on Fruit Act 1923"
"979","Liens on Fruit Act 1923","Liens on Fruit Act 1923"
"980","Liens on Fruit Act 1923","Liens on Fruit Act 1923"
"981","Limitation of Actions Act 1936","Limitation of Actions Act 1936"
"982","Limitation of Actions Act 1936","Limitation of Actions Act 1936"
"983","Limitation of Actions Act 1936","Limitation of Actions Act 1936"
"984","Limitation of Actions Act 1936","Limitation of Actions Act 1936"
"985","Limitation of Actions Act 1936","Defamation Act 2005"
"986","Limitation of Actions Act 1936","Dust Diseases Act 2005"
"987","Limitation of Actions Act 1936","Defamation Act 2005"
"988","Limitation of Actions Act 1936","Limitation of Actions Act 1936"
"989","Linear Parks Act 2006","Linear Parks Act 2006"
"990","Linear Parks Act 2006","Linear Parks Act 2006"
"991","Linear Parks Act 2006","Linear Parks Act 2006"
"992","Liquor Licensing Act 1997","Liquor Licensing Act 1997"
"993","Liquor Licensing Act 1997","Liquor Licensing Act 1997"
"994","Liquor Licensing Act 1997","Liquor Licensing Act 1997"
"995","Liquor Licensing Act 1997","Liquor Licensing Act 1997"
"996","Liquor Licensing Act 1997","Liquor Licensing Act 1997"
"997","Livestock Act 1997","Livestock Act 1997"
"998","Livestock Act 1997","Livestock Act 1997"
"999","Livestock Act 1997","Fisheries Management Act 2007"
"1000","Lobbyists Act 2015","Lobbyists Act 2015"
"1001","Lobbyists Act 2015","Lobbyists Act 2015"
"1002","Local Government (Elections) Act 1999","Local Government Act 1999"
"1003","Local Government (Implementation) Act 1999","City of Adelaide Act 1998"
"1004","Local Government (Implementation) Act 1999","Real Property Act 1886"
"1005","Local Government (Implementation) Act 1999","Survey Act 1992"
"1006","Local Government (Implementation) Act 1999","Water Resources Act 1997"
"1007","Local Government Act 1999","Local Government Act 1999"
"1008","Local Government Act 1999","Local Government Act 1999"
"1009","Local Government Act 1999","Emergency Management Act 2004"
"1010","Local Government Act 1999","Fire and Emergency Services Act 2005"
"1011","Local Government Act 1999","Justices of the Peace Act 2005"
"1012","Local Government Act 1999","Adelaide Park Lands Act 2005"
"1013","Local Government Act 1999","Water Industry Act 2012"
"1014","Local Government Act 1999","Local Nuisance and Litter Control Act 2016"
"1015","Local Government Act 1999","Local Nuisance and Litter Control Act 2016"
"1016","Local Government Act 1999","Local Government Act 1999"
"1017","Local Government Act 1999","Local Government Act 1999"
"1018","Local Government Finance Authority Act 1983","Local Government Finance Authority Act 1983"
"1019","Local Government Finance Authority Act 1983","Local Government Finance Authority Act 1983"
"1020","Local Nuisance and Litter Control Act 2016","Local Nuisance and Litter Control Act 2016"
"1021","Local Nuisance and Litter Control Act 2016","Local Nuisance and Litter Control Act 2016"
"1022","Local Nuisance and Litter Control Act 2016","Local Government Act 1999"
"1023","Local Nuisance and Litter Control Act 2016","Motor Vehicles Act 1959"
"1024","Local Nuisance and Litter Control Act 2016","Summary Offences Act 1953"
"1025","Local Nuisance and Litter Control Act 2016","Local Government Act 1999"
"1026","Local Nuisance and Litter Control Act 2016","Local Government Act 1999"
"1027","Long Service Leave Act 1987","Long Service Leave Act 1987"
"1028","Long Service Leave Act 1987","Long Service Leave Act 1987"
"1029","Long Service Leave Act 1987","Long Service Leave Act 1987"
"1030","Lottery and Gaming Act 1936","Lottery and Gaming Act 1936"
"1031","Lottery and Gaming Act 1936","Lottery and Gaming Act 1936"
"1032","Lottery and Gaming Act 1936","Lottery and Gaming Act 1936"
"1033","Lottery and Gaming Act 1936","Lottery and Gaming Act 1936"
"1034","Lottery and Gaming Act 1936","ANZAC Day Commemoration Act 2005"
"1035","Lottery and Gaming Act 1936","Justices of the Peace Act 2005"
"1036","Magistrates Act 1983","Magistrates Act 1983"
"1037","Magistrates Act 1983","Magistrates Act 1983"
"1038","Magistrates Court Act 1991","Magistrates Court Act 1991"
"1039","Magistrates Court Act 1991","Magistrates Court Act 1991"
"1040","Magistrates Court Act 1991","Justices of the Peace Act 2005"
"1041","Magistrates Court Act 1991","Cross-border Justice Act 2009"
"1042","Magistrates Court Act 1991","Fines Enforcement and Debt Recovery Act 2017"
"1043","Magistrates Court Act 1991","Justices of the Peace Act 2005"
"1044","Major Events Act 2013","Major Events Act 2013"
"1045","Major Events Act 2013","Major Events Act 2013"
"1046","Maralinga Tjarutja Land Rights Act 1984","Maralinga Tjarutja Land Rights Act 1984"
"1047","Maralinga Tjarutja Land Rights Act 1984","Maralinga Tjarutja Land Rights Act 1984"
"1048","Marine Parks Act 2007","Marine Parks Act 2007"
"1049","Marine Parks Act 2007","Marine Parks Act 2007"
"1050","Marine Parks Act 2007","Marine Parks Act 2007"
"1051","Marine Parks Act 2007","Aquaculture Act 2001"
"1052","Marine Parks Act 2007","Coast Protection Act 1972"
"1053","Marine Parks Act 2007","Development Act 1993"
"1054","Marine Parks Act 2007","Environment Protection Act 1993"
"1055","Marine Parks Act 2007","Fisheries Management Act 2007"
"1056","Marine Parks Act 2007","Harbors and Navigation Act 1993"
"1057","Marine Parks Act 2007","Historic Shipwrecks Act 1981"
"1058","Marine Parks Act 2007","Mining Act 1971"
"1059","Marine Parks Act 2007","Natural Resources Management Act 2004"
"1060","Marine Parks Act 2007","Offshore Minerals Act 2000"
"1061","Marine Parks Act 2007","Petroleum and Geothermal Energy Act 2000"
"1062","Marine Safety (Domestic Commercial Vessel) National Law (Application) Act 2013","Harbors and Navigation Act 1993"
"1063","Marketable Securities Act 1971","Marketable Securities Act 1971"
"1064","Marketable Securities Act 1971","Marketable Securities Act 1971"
"1065","Mental Health Act 2009","Mental Health Act 2009"
"1066","Mental Health Act 2009","Mental Health Act 2009"
"1067","Mental Health Act 2009","Mental Health Act 2009"
"1068","Mercantile Law Act 1936","Mercantile Law Act 1936"
"1069","Mercantile Law Act 1936","Mercantile Law Act 1936"
"1070","Mercantile Law Act 1936","Mercantile Law Act 1936"
"1071","Mercantile Law Act 1936","Mercantile Law Act 1936"
"1072","Mercantile Law Act 1936","Sale of Goods Act 1895"
"1073","Metropolitan Adelaide Road Widening Plan Act 1972","Metropolitan Adelaide Road Widening Plan Act 1972"
"1074","Metropolitan Adelaide Road Widening Plan Act 1972","Metropolitan Adelaide Road Widening Plan Act 1972"
"1075","Metropolitan Drainage Act 1935","Metropolitan Drainage Act 1935"
"1076","Metropolitan Drainage Act 1935","Metropolitan Drainage Act 1935"
"1077","Mile End Underpass Act 2005","Mile End Underpass Act 2005"
"1078","Mile End Underpass Act 2005","Mile End Underpass Act 2005"
"1079","Mines and Works Inspection Act 1920","Mines and Works Inspection Act 1920"
"1080","Mines and Works Inspection Act 1920","Mines and Works Inspection Act 1920"
"1081","Mines and Works Inspection Act 1920","Mines and Works Inspection Act 1920"
"1082","Mines and Works Inspection Act 1920","Mines and Works Inspection Act 1920"
"1083","Mining Act 1971","Mining Act 1971"
"1084","Mining Act 1971","Mining Act 1971"
"1085","Mining Act 1971","Mining Act 1971"
"1086","Mining Act 1971","Mining Act 1971"
"1087","Mining Act 1971","Natural Resources Management Act 2004"
"1088","Mining Act 1971","Adelaide Dolphin Sanctuary Act 2005"
"1089","Mining Act 1971","Marine Parks Act 2007"
"1090","Misrepresentation Act 1972","Misrepresentation Act 1972"
"1091","Misrepresentation Act 1972","Misrepresentation Act 1972"
"1092","Motor Accident Commission Act 1992","Motor Accident Commission Act 1992"
"1093","Motor Accident Commission Act 1992","Motor Accident Commission Act 1992"
"1094","Motor Accident Commission Act 1992","Motor Vehicles Act 1959"
"1095","Motor Accident Commission Act 1992","Motor Accident Commission Act 1992"
"1096","Motor Accident Commission Act 1992","Compulsory Third Party Insurance Regulation Act 2016"
"1097","Motor Vehicle Accidents (Lifetime Support Scheme) Act 2013","Civil Liability Act 1936"
"1098","Motor Vehicle Accidents (Lifetime Support Scheme) Act 2013","Motor Accident Commission Act 1992"
"1099","Motor Vehicle Accidents (Lifetime Support Scheme) Act 2013","Motor Vehicles Act 1959"
"1100","Motor Vehicle Accidents (Lifetime Support Scheme) Act 2013","Stamp Duties Act 1923"
"1101","Motor Vehicle Accidents (Lifetime Support Scheme) Act 2013","Return to Work Act 2014"
"1102","Motor Vehicles Act 1959","Motor Vehicles Act 1959"
"1103","Motor Vehicles Act 1959","Motor Vehicles Act 1959"
"1104","Motor Vehicles Act 1959","Motor Vehicles Act 1959"
"1105","Motor Vehicles Act 1959","Compulsory Third Party Insurance Regulation Act 2016"
"1106","Motor Vehicles Act 1959","Local Nuisance and Litter Control Act 2016"
"1107","Motor Vehicles Act 1959","Fines Enforcement and Debt Recovery Act 2017"
"1108","Motor Vehicles Act 1959","Compulsory Third Party Insurance Regulation Act 2016"
"1109","Murray-Darling Basin Act 2008","Murray-Darling Basin Act 2008"
"1110","Murray-Darling Basin Act 2008","Murray-Darling Basin Act 2008"
"1111","Murray-Darling Basin Act 2008","Development Act 1993"
"1112","Murray-Darling Basin Act 2008","Natural Resources Management Act 2004"
"1113","Murray-Darling Basin Act 2008","Natural Resources Management Act 2004"
"1114","Murray-Darling Basin Act 2008","River Murray Act 2003"
"1115","National Energy Retail Law (South Australia) Act 2011","Essential Services Commission Act 2002"
"1116","National Environment Protection Council (South Australia) Act 1995","Environment Protection Act 1993"
"1117","National Gas (South Australia) Act 2008","Australian Energy Market Commission Establishment Act 2004"
"1118","National Parks and Wildlife Act 1972","National Parks and Wildlife Act 1972"
"1119","National Parks and Wildlife Act 1972","National Parks and Wildlife Act 1972"
"1120","National Parks and Wildlife Act 1972","National Parks and Wildlife Act 1972"
"1121","National Parks and Wildlife Act 1972","National Parks and Wildlife Act 1972"
"1122","National Parks and Wildlife Act 1972","Lands for Public Purposes Acquisition Act 1914"
"1123","National Parks and Wildlife Act 1972","Natural Resources Management Act 2004"
"1124","National Parks and Wildlife Act 1972","Adelaide Dolphin Sanctuary Act 2005"
"1125","National Parks and Wildlife Act 1972","Crown Land Management Act 2009"
"1126","National Soldiers Memorial Act 1949","National Soldiers Memorial Act 1949"
"1127","National Soldiers Memorial Act 1949","National Soldiers Memorial Act 1949"
"1128","National Soldiers Memorial Act 1949","Government House Precinct Land Dedication Act 2016"
"1129","National Tax Reform (State Provisions) Act 2000","Petroleum Products Regulation Act 1995"
"1130","National Tax Reform (State Provisions) Act 2000","Stamp Duties Act 1923"
"1131","National Trust of South Australia Act 1955","National Trust of South Australia Act 1955"
"1132","National Trust of South Australia Act 1955","National Trust of South Australia Act 1955"
"1133","National Wine Centre (Restructuring and Leasing Arrangements) Act 2002","Adelaide Park Lands Act 2005"
"1134","Native Title (South Australia) Act 1994","Acts Interpretation Act 1915"
"1135","Native Vegetation Act 1991","Native Vegetation Act 1991"
"1136","Native Vegetation Act 1991","Native Vegetation Act 1991"
"1137","Native Vegetation Act 1991","Fire and Emergency Services Act 2005"
"1138","Native Vegetation Act 1991","Native Vegetation Act 1991"
"1139","Native Vegetation Act 1991","Native Vegetation Act 1991"
"1140","Native Vegetation Act 1991","Natural Resources Management Act 2004"
"1141","Native Vegetation Act 1991","Adelaide Dolphin Sanctuary Act 2005"
"1142","Natural Gas Authority Act 1967","Natural Gas Authority Act 1967"
"1143","Natural Gas Authority Act 1967","Natural Gas Authority Act 1967"
"1144","Natural Gas Authority Act 1967","Real Property Act 1886"
"1145","Natural Gas Authority Act 1967","Superannuation Act 1988"
"1146","Natural Gas Authority Act 1967","Natural Gas Authority Act 1967"
"1147","Natural Resources Management Act 2004","Natural Resources Management Act 2004"
"1148","Natural Resources Management Act 2004","Natural Resources Management Act 2004"
"1149","Natural Resources Management Act 2004","Irrigation Act 2009"
"1150","Natural Resources Management Act 2004","Renmark Irrigation Trust Act 2009"
"1151","Natural Resources Management Act 2004","Water Resources Act 1997"
"1152","Natural Resources Management Act 2004","Natural Resources Management Act 2004"
"1153","Natural Resources Management Act 2004","Dog and Cat Management Act 1995"
"1154","Natural Resources Management Act 2004","Dog Fence Act 1946"
"1155","Natural Resources Management Act 2004","Environment Protection Act 1993"
"1156","Natural Resources Management Act 2004","Mining Act 1971"
"1157","Natural Resources Management Act 2004","National Parks and Wildlife Act 1972"
"1158","Natural Resources Management Act 2004","Native Vegetation Act 1991"
"1159","Natural Resources Management Act 2004","Parliamentary Committees Act 1991"
"1160","Natural Resources Management Act 2004","Pastoral Land Management and Conservation Act 1989"
"1161","Natural Resources Management Act 2004","River Murray Act 2003"
"1162","Natural Resources Management Act 2004","South Eastern Water Conservation and Drainage Act 1992"
"1163","Natural Resources Management Act 2004","Subordinate Legislation Act 1978"
"1164","Natural Resources Management Act 2004","Marine Parks Act 2007"
"1165","Natural Resources Management Act 2004","Murray-Darling Basin Act 2008"
"1166","Natural Resources Management Act 2004","Irrigation Act 2009"
"1167","Natural Resources Management Act 2004","Renmark Irrigation Trust Act 2009"
"1168","Natural Resources Management Act 2004","Arkaroola Protection Act 2012"
"1169","Natural Resources Management Act 2004","Water Industry Act 2012"
"1170","Natural Resources Management Act 2004","Natural Resources Management Act 2004"
"1171","Natural Resources Management Act 2004","Water Resources Act 1997"
"1172","North Haven Development Act 1972","North Haven Development Act 1972"
"1173","North Haven Development Act 1972","North Haven Development Act 1972"
"1174","Not-for-Profit Sector Freedom to Advocate Act 2013","Not-for-Profit Sector Freedom to Advocate Act 2013"
"1175","Not-for-Profit Sector Freedom to Advocate Act 2013","Not-for-Profit Sector Freedom to Advocate Act 2013"
"1176","Notaries Public Act 2016","Notaries Public Act 2016"
"1177","Notaries Public Act 2016","Notaries Public Act 2016"
"1178","Notaries Public Act 2016","Legal Practitioners Act 1981"
"1179","Oaths Act 1936","Oaths Act 1936"
"1180","Oaths Act 1936","Oaths Act 1936"
"1181","Oaths Act 1936","Oaths Act 1936"
"1182","Oaths Act 1936","Oaths Act 1936"
"1183","Office for the Ageing Act 1995","Office for the Ageing Act 1995"
"1184","Office for the Ageing Act 1995","Office for the Ageing Act 1995"
"1185","Office for the Ageing Act 1995","Office for the Ageing Act 1995"
"1186","Offshore Minerals Act 2000","Offshore Minerals Act 2000"
"1187","Offshore Minerals Act 2000","Offshore Minerals Act 2000"
"1188","Offshore Minerals Act 2000","Marine Parks Act 2007"
"1189","Offshore Minerals Act 2000","Marine Parks Act 2007"
"1190","Offshore Minerals Act 2000","Offshore Minerals Act 2000"
"1191","Offshore Minerals Act 2000","Aboriginal Heritage Act 1988"
"1192","Offshore Minerals Act 2000","Construction Industry Training Fund Act 1993"
"1193","Offshore Minerals Act 2000","Development Act 1993"
"1194","Offshore Minerals Act 2000","Mining Act 1971"
"1195","Offshore Minerals Act 2000","National Parks and Wildlife Act 1972"
"1196","Offshore Minerals Act 2000","Stamp Duties Act 1923"
"1197","Offshore Minerals Act 2000","Wilderness Protection Act 1992"
"1198","Offshore Minerals Act 2000","Marine Parks Act 2007"
"1199","Ombudsman Act 1972","Ombudsman Act 1972"
"1200","Ombudsman Act 1972","Ombudsman Act 1972"
"1201","Opal Mining Act 1995","Opal Mining Act 1995"
"1202","Opal Mining Act 1995","Opal Mining Act 1995"
"1203","Opal Mining Act 1995","Opal Mining Act 1995"
"1204","Opal Mining Act 1995","Mining Act 1971"
"1205","Opal Mining Act 1995","Opal Mining Act 1995"
"1206","Parliamentary Committees Act 1991","Parliamentary Committees Act 1991"
"1207","Parliamentary Committees Act 1991","Parliamentary Committees Act 1991"
"1208","Parliamentary Committees Act 1991","Parliamentary Committees Act 1991"
"1209","Parliamentary Committees Act 1991","Parliamentary Committees Act 1991"
"1210","Parliamentary Committees Act 1991","Constitution Act 1934"
"1211","Parliamentary Committees Act 1991","Parliamentary Remuneration Act 1990"
"1212","Parliamentary Committees Act 1991","Subordinate Legislation Act 1978"
"1213","Parliamentary Committees Act 1991","River Murray Act 2003"
"1214","Parliamentary Remuneration Act 1990","Parliamentary Remuneration Act 1990"
"1215","Parliamentary Remuneration Act 1990","Parliamentary Remuneration Act 1990"
"1216","Parliamentary Remuneration Act 1990","Parliamentary Remuneration Act 1990"
"1217","Parliamentary Superannuation Act 1974","Parliamentary Superannuation Act 1974"
"1218","Parliamentary Superannuation Act 1974","Parliamentary Superannuation Act 1974"
"1219","Parliamentary Superannuation Act 1974","Parliamentary Superannuation Act 1974"
"1220","Parliamentary Superannuation Act 1974","Parliamentary Superannuation Act 1974"
"1221","Partnership Act 1891","Partnership Act 1891"
"1222","Partnership Act 1891","Partnership Act 1891"
"1223","Passenger Transport Act 1994","Passenger Transport Act 1994"
"1224","Passenger Transport Act 1994","Passenger Transport Act 1994"
"1225","Passenger Transport Act 1994","Passenger Transport Act 1994"
"1226","Passenger Transport Act 1994","Passenger Transport Act 1994"
"1227","Passenger Transport Act 1994","Road Traffic Act 1961"
"1228","Passenger Transport Act 1994","Superannuation Act 1988"
"1229","Passenger Transport Act 1994","Victoria Square Act 2005"
"1230","Pastoral Land Management and Conservation Act 1989","Pastoral Land Management and Conservation Act 1989"
"1231","Pastoral Land Management and Conservation Act 1989","Pastoral Land Management and Conservation Act 1989"
"1232","Pastoral Land Management and Conservation Act 1989","Crown Land Management Act 2009"
"1233","Pastoral Land Management and Conservation Act 1989","Pastoral Land Management and Conservation Act 1989"
"1234","Pastoral Land Management and Conservation Act 1989","Natural Resources Management Act 2004"
"1235","Pastoral Land Management and Conservation Act 1989","Arkaroola Protection Act 2012"
"1236","Payroll Tax Act 2009","Payroll Tax Act 2009"
"1237","Payroll Tax Act 2009","Payroll Tax Act 2009"
"1238","Payroll Tax Act 2009","Taxation Administration Act 1996"
"1239","Payroll Tax Act 2009","Payroll Tax Act 2009"
"1240","Petroleum (Submerged Lands) Act 1982","Marine Parks Act 2007"
"1241","Petroleum (Submerged Lands) Act 1982","Marine Parks Act 2007"
"1242","Petroleum and Geothermal Energy Act 2000","Petroleum and Geothermal Energy Act 2000"
